questions	question_or_statement
ENTY:cremat What J.R.R. Tolkien book features Bilbo Baggins as the central character ?	1
DESC:def What is `` dew point '' ?	1
DESC:def What is the meaning of Jesus ?	1
HUM:gr What company 's logo is a `` W '' in a circle ?	1
DESC:def What is the definition of a cascade ?	1
NUM:date When did Rococo painting and architecture flourish ?	1
LOC:country What country 's national passenger rail system is called Via ?	1
HUM:ind Who invented Make-up ?	1
DESC:desc What is the origin of the word `` attic '' ?	1
DESC:desc What did Delilah do to Samson 's hair ?	1
ENTY:animal What kind of animals were in the Paleozoic era ?	1
HUM:ind Which of the following was Rhodes Scholar ?	1
HUM:ind Who comprised the now-defunct comic book team known as the Champions ?	1
DESC:manner How do you make a paintball ?	1
LOC:state What U.S. state is Fort Knox in ?	1
ENTY:animal What is a female rabbit called ?	1
LOC:mount Where is the highest point in Japan ?	1
DESC:desc Where do chihuahuas come from ?	1
LOC:other Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?	1
LOC:other What are the world 's four oceans ?	1
ENTY:cremat What 's the only work by Michelangelo that bears his signature ?	1
ENTY:animal What is the largest snake in the world ?	1
ENTY:cremat In what medium is Stuart Hamblen considered to be the first singing cowboy ?	1
LOC:other Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?	1
NUM:money How much money does a back injury lawsuit get ?	1
ENTY:termeq What 's the common name for acetylsalicylic acid ?	1
DESC:def What does the Georgetown `` Hoya '' mean ?	1
LOC:other Where can I find a list of `` classic '' books 5th and 6th graders should read ?	1
ENTY:product Which two products use a tiger as their symbol ?	1
DESC:manner How is the election of a new Pope announced to the world ?	1
NUM:period How long does it take for your blood to make one complete trip through the body ?	1
DESC:manner How do chickens have baby chicks ?	1
DESC:desc What is the historical relationship of Catholic Church and bingo ?	1
DESC:manner How was the element calcium named ?	1
HUM:ind What crooner joined The Andrews Sisters for Pistol Packin Mama ?	1
HUM:gr What piano company claims its product is the `` Instrument of the immortals '' ?	1
NUM:date When did the Bounty mutiny take place ?	1
ENTY:cremat What novel inspired the movie BladeRunner ?	1
DESC:def What is a transistor ?	1
ENTY:cremat What is a film starring Jude Law ?	1
ENTY:animal What Hollywood dog died in the arms of Jean Harlow in 1932 ?	1
ENTY:substance What are the most common elements in the Earth 's crust ?	1
NUM:money How much would it cost to purchase a 2-foot-square party tent , with sides , ?	1
HUM:ind What actress has received the most Oscar nominations ?	1
DESC:def What are equity securities ?	1
DESC:def What is gymnophobia ?	1
NUM:count How many years do fossils take to form ?	1
LOC:other Where is the Orinoco ?	1
ENTY:animal What was the name of the `` Little Rascals '' dog ?	1
LOC:city What city boasts Penn 's Landing , on the banks of the Delaware river ?	1
ENTY:cremat What Broadway musical was inspired by Cervantes 's Don Quixote ?	1
DESC:desc What is the origin of the word , JJ .	1
NUM:count How many hostages were killed in the Entebbe raid ?	1
DESC:manner How you can raise your IQ ?	1
ABBR:exp What does INRI stand for when used on Jesus ' cross ?	1
HUM:gr Who produces Spumante ?	1
HUM:ind Who earns their money the hard way ?	1
HUM:ind Who founded the People 's Temple Commune ?	1
HUM:ind What athlete makes the most money from sports merchandise sales ?	1
NUM:count How many bends are there in a standard paper clip ?	1
HUM:ind Who discovered electricity ?	1
ENTY:body What part of your body contains the corpus callosum ?	1
HUM:ind Who was the first American in space ?	1
LOC:country What two South American countries do n't border Brazil ?	1
ENTY:cremat What album put The Beatles on the cover of Time in 1967 ?	1
ENTY:cremat What poem contains the line , `` grow old with me the best is yet to be '' .	1
DESC:def What is a dental root canal ?	1
ENTY:event What war did the Wanna-Go-Home Riots occur after ?	1
NUM:date What is the busiest air travel season ?	1
ENTY:body What 's the colored part of the eye called ?	1
DESC:def What are hook worms ?	1
LOC:other Where is the Rose Bowl played ?	1
HUM:gr Which Japanese car maker had its biggest percentage of sale in the domestic market ?	1
HUM:ind Who is the mayor of Marbella ?	1
LOC:other What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?	1
NUM:date In what year did Thatcher become prime minister ?	1
NUM:count How many months does it take the moon to revolve around the Earth ?	1
LOC:other Where are the 49 steps ?	1
NUM:date In what year was De Gaulle elected president of France ?	1
HUM:ind Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?	1
HUM:ind Who directed `` Jaws '' ?	1
ENTY:cremat On what T.V. show could Tom Terrific be found ?	1
HUM:gr What Indian tribe is F Troop perpetually doing battle with ?	1
DESC:desc Where did Indian Pudding come from ?	1
DESC:reason Why do some clothing labels say `` Use a nonchlorine bleach '' ?	1
NUM:count How many colonies were involved in the American Revolution ?	1
LOC:city What is the name of the city that Maurizio Pellegrin lives in ?	1
LOC:other Where can I find pictorial directions on how to build a very simple treehouse ?	1
ENTY:sport What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?	1
HUM:ind What is the name of the managing director of Apricot Computer ?	1
HUM:title What is the occupation of Nicholas Cage ?	1
DESC:reason Why do horseshoes bring luck ?	1
DESC:def What is the 401 , K , plan ?	1
DESC:reason What causes pneumonia ?	1
NUM:date What are the three winter months in the southern hemisphere ?	1
DESC:def What does gringo mean ?	1
LOC:country What country contains Africa 's northernmost point ?	1
ENTY:dismed What therapy attempts to elicit the `` primal scream '' ?	1
LOC:other Where is the Kalahari desert ?	1
HUM:gr Which Ventura County police department seized the largest cocaine shipment in it 's history ?	1
LOC:city What city is sometimes called Gotham ?	1
ENTY:body What dangles over the tongue from the palate ?	1
HUM:ind Who created Dennis the Menace ?	1
HUM:ind What dummy received an honorary degree from Northwestern University ?	1
NUM:date When was the first Wall Street Journal published ?	1
LOC:country What countries have the largest areas of forest ?	1
DESC:manner How do I start a web based business ?	1
HUM:ind Name Alvin 's brothers	1
DESC:def What is Eagle 's syndrome styloid process ?	1
DESC:manner How did Jayne Mansfield die ?	1
NUM:date When did the royal wedding of Prince Andrew and Fergie take place ?	1
HUM:ind What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?	1
HUM:ind What explorer was nicknamed Iberia 's Pilot ?	1
NUM:date CNN began broadcasting in what year ?	1
ENTY:termeq What is a ball that hits the foul pole called ?	1
DESC:reason What makes hamburgers taste like steakburgers ?	1
HUM:gr Which company created the Internet browser Mosaic ?	1
ENTY:event What are the rites accompanying the circumcision of a newly born-child in Judaism called ?	1
ENTY:other What was the education system in the 1960 's ?	1
LOC:city What South American city has the world 's highest commercial landing field ?	1
DESC:manner How can I find out which cities have cable-modem access ?	1
DESC:reason What is Betsy Ross famous for ?	1
NUM:count How many species of sharks are there ?	1
DESC:def What is `` snoogans '' ?	1
NUM:count How many people are there in the world ?	1
ENTY:plant What shrubs can be planted that will be safe from deer ?	1
HUM:gr What organization 's offices were broken into at Watergate in 1972 ?	1
DESC:desc What is the design of the ship Titanic ?	1
ABBR:exp What does S.O.S. stand for ?	1
ENTY:techmeth Name a technique widely used to detect birth defects ?	1
DESC:desc What is the daily requirement of folic acid for an expectant mother ?	1
DESC:def What is the `` 7-minute cigarette '' ?	1
ENTY:other What four forms does gold occur in ?	1
NUM:volsize What is the acreage of the Chappellet vineyard ?	1
DESC:manner How do you correctly say the word ` qigong ' ?	1
NUM:date When did beethoven die ?	1
NUM:money How much does a new railroad coal car cost ?	1
LOC:country What two European countries entered the War of American Independence against the British ?	1
DESC:def What is the filmmakers collabrative ?	1
HUM:ind What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?	1
DESC:reason What caused Harry Houdini 's death ?	1
HUM:ind Who was the mother of the man who would not be king , the duke of Windsor ?	1
NUM:count How many revolutions does a standard LP make in three minutes ?	1
LOC:mount What is the name of the tallest mountain in the world ?	1
LOC:other Where can I find a review of Nightmare on Elm Street in a film journal ?	1
ENTY:techmeth What 's the slowest Olympic swimming stroke ?	1
HUM:ind What was the name of the first Russian astronaut to do a spacewalk ?	1
ENTY:dismed What disease is transmitted by the Anopheles mosquito ?	1
ENTY:food What rum is so `` mixable '' it is a one-brand bar ?	1
NUM:count How many South American countries have the letter Z in their names ?	1
DESC:def What is the contents of proposition 98 ?	1
LOC:other Where was George Washington born ?	1
NUM:count How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .	1
HUM:ind Who wrote NN DT NNP NNP '' ?	1
DESC:def What is paracetamol ?	1
DESC:desc What are the powers and weaknesses of Green Lantern 's ring ?	1
ENTY:animal Which mosquito 's bite draws blood , DT NN CC DT NN .	1
NUM:date When was the first steel mill in the United States built ?	1
HUM:ind What diminutive American female gymnast stole the show at the 1984 Olympics ?	1
DESC:desc What is the origin of the name Katie ?	1
HUM:gr What schools in the Washington , DC NN NN VBP NN NN NN NN .	1
NUM:date When did the Berlin Wall go up ?	1
HUM:desc Who is Terrence Malick ?	1
ENTY:instru What instrument is Ray Charles best known for playing ?	1
DESC:def What 's the meaning of the Latin battle cry : Ad arma , ad arma .	1
ENTY:other What is the mascot for Notre Dame University ?	1
LOC:other What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?	1
NUM:date When did Mount St. Helen last have a significant eruption ?	1
ABBR:exp CNN is the abbreviation for what ?	1
NUM:date When did World War I start ?	1
NUM:count How many feet are there in a fathom ?	1
DESC:def What is a Canada two-penny black ?	1
LOC:city What European city do Nicois live in ?	1
DESC:manner How can I find out what year a Beanie Baby was introduced ?	1
DESC:def What is the classic definition of tragic hero ?	1
ENTY:other To what does Microsoft 's Windows 3 owe its success ?	1
HUM:ind Who was President of Afghanistan in 1994 ?	1
ENTY:techmeth What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?	1
ENTY:food What did brontosauruses eat ?	1
ENTY:color What color bottles do good Rhine wines come in ?	1
HUM:ind Who was the lead actress in the movie ` Sleepless in Seattle ' ?	1
HUM:ind Who was the 16th President of the United States ?	1
HUM:ind Who are the two sons of Ozzie and Harriet Nelson ?	1
DESC:def What is molybdenum ?	1
NUM:date When is Boxing Day ?	1
ENTY:other What is the lowest level of the American judiciary ?	1
NUM:date When was the battle of the Somme fought ?	1
NUM:count How many people did Randy Craft kill ?	1
ENTY:animal What 's the official animal of Canada ?	1
NUM:date When did Spielberg direct `` Jaws '' ?	1
NUM:volsize What is the size of the largest akita ?	1
ENTY:animal What animal has the biggest eyes ?	1
LOC:city What is California 's capital ?	1
HUM:ind Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?	1
HUM:ind Who was the founding member of the Pink Floyd band ?	1
LOC:country What European country is home to the beer-producing city of Budweis ?	1
DESC:manner How do I find the balance of my social security account ?	1
DESC:desc What is the history of Valentine 's Day cards ?	1
LOC:other Where was Christopher Columbus born ?	1
ENTY:termeq What do Italians call Florence ?	1
DESC:manner How do you get to the top of the Eiffel Tower ?	1
ABBR:exp What does ` PSI ' stand for ?	1
LOC:other What sea did the Romans call mare nostrum ?	1
ENTY:termeq What 's the term for a bet before cards are dealt ?	1
ENTY:animal Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?	1
LOC:city What city did the Flintstones live in ?	1
ENTY:termeq What is Latin for incompetent ?	1
ENTY:dismed What chemicals are used in lethal injection ?	1
HUM:gr What toy company is the world 's No.1 maker of female apparel ?	1
ENTY:sport What board game does a `` wood-pusher '' play poorly ?	1
HUM:ind Which Doonesbury character was likely to turn into a werewolf ?	1
ABBR:abb What is the abbreviation for micro ?	1
ENTY:other What are the 7 articles of the constitution ?	1
HUM:gr Who has won the most Super Bowls ?	1
ABBR:exp What does NASDAQ stand for ?	1
ABBR:exp What is BPH ?	1
ENTY:other What is the fastest commercial automobile that can be bought in the US ?	1
LOC:other What stadium do the Miami Dolphins play their home games in ?	1
HUM:ind Who has the only speaking role in `` Silent Movie '' ?	1
DESC:reason Why is poop sometimes different colors ?	1
NUM:other What was Einstein 's IQ ?	1
NUM:date What day was Pearl Harbor attacked in 1942 ?	1
HUM:ind What girl 's name is `` Teddy '' an affectionate form of ?	1
LOC:state What state is John F. Kennedy buried in ?	1
ENTY:techmeth What is the best way to remove wallpaper ?	1
LOC:state What U.S. state has an element named for it ?	1
HUM:gr What company tabulates the ballots in voting for the Academy Awards ?	1
DESC:manner How did the tradition of best man start ?	1
NUM:count How many years ago did the ship Titanic sink ?	1
LOC:other What is the deepest area of the Arctic Ocean ?	1
ENTY:color What are Halloween 's colors ?	1
DESC:manner How is silk screening done ?	1
NUM:other What is the latitude and longitude of El Paso , Texas ?	1
HUM:ind Who made a boat out of gopher wood ?	1
LOC:other Where can I find a `` Fifth Element '' screensaver ?	1
HUM:ind Which Bloom County resident wreaks havoc with a computer ?	1
DESC:manner How do you match a name to a social security number ?	1
DESC:manner How does a rainbow form ?	1
NUM:other What is the normal resting heart rate of a healthy adult ?	1
NUM:other What is the population of Ohio ?	1
NUM:count How many calories are there in a Big Mac ?	1
DESC:def Hazmat stands for what ?	1
ENTY:animal What creature scares people in the film `` Jaws '' ?	1
HUM:ind What part did John Peter Zenger play in the deveopment of the newspaper in America ?	1
HUM:ind Who followed Caesar ?	1
ENTY:substance What are the four elements ?	1
HUM:ind Who was the first woman golfer to earn a million ?	1
ENTY:other What 's the tallest piece on a chessboard ?	1
LOC:other What is Answers.com 's address ?	1
LOC:other Where can I buy movies on videotape online ?	1
HUM:ind Who does the advertizing for Frito-Lay ?	1
HUM:gr Who is the leading competitor of Trans Union Company ?	1
ENTY:product What product did Robert Conrad dare people to knock off his shoulder ?	1
HUM:ind Who invented the radio ?	1
NUM:count What 's the American dollar equivalent for 8 pounds in the U.K. ?	1
ENTY:techmeth What are the different approaches of systems analysis ?	1
DESC:manner How do doctors diagnose bone cancer ?	1
HUM:ind Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?	1
NUM:speed What is the speed of the Mississippi River ?	1
ENTY:other What are the developmental stages of a swimmer ?	1
HUM:ind What actor first portrayed James Bond ?	1
LOC:other What ocean is the largest in the world ?	1
HUM:ind Who was the first American poet to win the Nobel Prize for literature , in 1948 ?	1
NUM:date What year did Jack Nicklaus join the Professional Golfers Association tour ?	1
NUM:count How many sonnets did Shakespeare write ?	1
DESC:reason What causes the redness in your cheeks when you blush ?	1
HUM:ind Who won the Nobel Peace Prize in 1991 ?	1
HUM:gr Who are the Challengers of the Unknown ?	1
DESC:def Define the Pheonix Club ?	1
LOC:city Which city did Christian Crusaders fight to recapture from the Muslims ?	1
DESC:def What does it mean `` Rupee Depreciates '' ?	1
ENTY:other What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?	1
HUM:ind Who was the first coach of the Cleveland Browns ?	1
DESC:manner How successful is arometherapy ?	1
ENTY:event What Jewish holiday saw the start of the 1973 Mideast War ?	1
DESC:manner How does a copier work ?	1
NUM:speed What is the speed of the Mississippi River ?	1
HUM:ind Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?	1
ENTY:animal What is Dudley Do-Right 's horse 's name ?	1
HUM:ind Who declared : `` I am down on whores and I shan 't stop ripping them '' ?	1
LOC:other Where does chocolate come from ?	1
ENTY:cremat What TV game show once saw a contestant admit to picking his toes in the shower ?	1
HUM:ind What Soviet leader owned a Rolls-Royce ?	1
LOC:other Where can I find a case on Individuals with Disabilities Education Act of 1991 ?	1
ENTY:event What war did Florence Nightingale tend the troops in ?	1
HUM:ind Who wrote the song , `` Stardust '' ?	1
NUM:count How many Beatles ' records went #1 ?	1
HUM:ind Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?	1
ABBR:abb What is the abbreviation of the company name ` General Motors ' ?	1
LOC:mount What mountains lie between the Arkansas and Missouri rivers ?	1
HUM:ind Who received the Will Rogers Award in 1989 ?	1
DESC:reason What is the function of RAM ?	1
LOC:other What 's the closest G2 Spectrum Yellow Dwarf to Earth ?	1
NUM:count How many equal angles are there in an isosceles triangle ?	1
ENTY:dismed What is the fear of cockroaches called ?	1
ENTY:cremat What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?	1
DESC:desc What is the use of a 24-hour clock instead of a 12-hour clock ?	1
HUM:ind What was the name of the lawyer who represented Randy Craft ?	1
HUM:ind What United States President had dreamed that he was assassinated ?	1
ENTY:cremat What film did Lee Marvin win the 1965 best actor Oscar for ?	1
LOC:other Where is Basque country located ?	1
ENTY:product What product does `` Mrs. Olsen '' promote ?	1
NUM:date What time of day did Emperor Hirohito die ?	1
DESC:def What is dry ice ?	1
ENTY:other What 's the most powerful card in Euchre ?	1
DESC:def What does `` intractable plantar keratoma '' mean ?	1
NUM:count How many years did it take James Joyce to write Ulysses ?	1
ENTY:food What crop failure caused the Irish Famine ?	1
LOC:city What South Korean city is served by Kimpo International Airport ?	1
NUM:count How many types of dogs ' tails are there - three	1
ENTY:cremat What is the longest-running television series ?	1
ENTY:animal What predators exist on Antarctica ?	1
DESC:desc What is the difference between a generator and an alternator ?	1
DESC:manner How is energy created ?	1
ENTY:food What beer advertised that it had `` three rings '' ?	1
NUM:other What is the quantity of American soldiers still unaccounted for from the Vietnam war ?	1
ENTY:techmeth What golfing accessory was patented by George Grant on December 12	1
ENTY:other What are the different types of plastic ?	1
DESC:manner How is it correct to say ` qigong ' ?	1
LOC:mount What was the highest mountain on earth before Mount Everest was discovered ?	1
LOC:other Where was the Ligurian Republic , 1797-185 , ?	1
LOC:country What country 's people are the top television watchers ?	1
NUM:date When was the women 's suffrage amendment ratified ?	1
HUM:gr What Polynesian people inhabit New Zealand ?	1
ENTY:cremat What movie tour of the Roman empire features the admonition : `` Row well and live '' ?	1
LOC:city What Nevada center has been dubbed The Biggest Little City in the World ?	1
HUM:ind What President lived at 219 North Delaware Street , Independence , Missouri ?	1
DESC:reason Give a reason for American Indians oftentimes dropping out of school .	1
LOC:other Where must a soccer goalie stand to be permitted to handle the ball ?	1
DESC:desc What is the difference between classical conditioning and operant conditioning ?	1
LOC:state In what U.S. state was the first woman governor elected ?	1
DESC:desc What are some interesting facts and information about dogsledding ?	1
NUM:date What year did Hitler die ?	1
HUM:ind What famous model was married to Billy Joel ?	1
ENTY:animal What kind of animal is Babar ?	1
DESC:reason What is Jane Goodall known for ?	1
ENTY:other What killed Bob Marley ?	1
NUM:money How much money are Dumbo 's ears insured for ?	1
HUM:ind Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?	1
HUM:desc Who is Stein Eriksen ?	1
DESC:def What does the name Billie mean ?	1
HUM:ind Who is the fastest swimmer in the world ?	1
LOC:mount What is the highest peak in Africa ?	1
LOC:other Where is Procter & Gamble headquartered in the U.S. ?	1
LOC:other What desert has been called The Garden of Allah ?	1
ENTY:other What do bicornate animals have two of ?	1
DESC:reason What function does a community 's water tower serve ?	1
ENTY:dismed What is a fear of weakness ?	1
NUM:count How many miles is it to Ohio from North Carolina ?	1
NUM:count How much snow equals an inch of rain ?	1
ABBR:exp What does G.M.T. stand for ?	1
DESC:def What does Inuit and Eskimo mean ?	1
ENTY:cremat What song served as the closing theme of The Johnny Cash Show ?	1
ENTY:sport What field sport did dentist William Beers promote and write a standard book of rules for ?	1
DESC:manner How do I tie dye clothes ?	1
NUM:date When does the average teenager first have intercourse ?	1
DESC:reason Why doesn 't www.answers.com have any answers to my questions ?	1
HUM:ind What actor 's autobiography is titled All My Yesterdays ?	1
HUM:ind What Russian master spy lived in the U.S. under the name Emil Goldfus ?	1
LOC:other Where 's the 19th hole on a golf course ?	1
DESC:reason What 's nature 's purpose for tornadoes ?	1
HUM:ind Who played the original Charlie 's Angels ?	1
LOC:other Where can I find a person 's address from a telephone number ?	1
ENTY:word What English word comes from the Old French covrefeu , meaning cover fire ?	1
ENTY:instru What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?	1
LOC:other Where did Sarge Steel get his metal hand ?	1
DESC:reason What makes popcorn pop ?	1
HUM:ind Who wrote The Night of the Iguana ?	1
ENTY:body Where does your hair grow the fastest ?	1
LOC:country What country did King Gustav V reign over from 197 to 195 ?	1
HUM:ind Who painted Mother and Child ?	1
NUM:speed What is the speed of the Mississippi River ?	1
LOC:other In what area of the world was the Six Day War fought ?	1
LOC:other What is the brightest star visible from Earth ?	1
ENTY:cremat What film marked Robert Redford 's directorial debut ?	1
HUM:ind What was Mao 's second name ?	1
ENTY:cremat What film or films has Jude Law appeared in ?	1
LOC:other Where do hyenas live ?	1
HUM:desc Who is the `` Queen Mother '' ?	1
ENTY:lang What 's the most commonly-spoken language in Belgium ?	1
HUM:ind Who has more DNA - a man or a woman ?	1
DESC:def What are Maid-Rites ?	1
ENTY:cremat What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?	1
HUM:gr What level of government or governmental agency is responsible for dealing with racism ?	1
NUM:count How many referees work a soccer game ?	1
ENTY:food What cocktail do you concoct with whisky and sweet vermouth ?	1
ENTY:termeq How do you say `` fresh '' in Spanish ?	1
DESC:desc What do bee hives do in cranberry bogs ?	1
DESC:reason What caused the Lynmouth floods ?	1
NUM:date When is the Tulip Festival in Michigan ?	1
HUM:ind Who came up with the name , El Nino ?	1
ENTY:cremat What movie did Madilyn Kahn star in with Gene Wilder ?	1
ENTY:other What type of bridge is the Golden Gate Bridge ?	1
HUM:ind What dictator has the nickname `` El Maximo '' ?	1
HUM:gr What stereo manufacturer is `` Slightly ahead of its time '' ?	1
LOC:city What U.S. city is The Queen of the Pacific ?	1
HUM:ind What TV sitcom character had the maiden name Ethel Potter ?	1
ENTY:food What was the first Lifesaver flavor ?	1
HUM:ind Who kept the most famous diary in the English language ?	1
LOC:other Where can I find out the top 1 singles ?	1
NUM:count How many degrees cooler is the inside of a cucumber than the air outside ?	1
HUM:ind What Spanish artist painted Crucifixion ?	1
ENTY:cremat What is the Jewish bible called ?	1
DESC:reason Why is the grass green ?	1
DESC:def What is a firewall ?	1
HUM:ind What spy novelist served as Moscow correspondent for Reuter and The Times of London ?	1
HUM:gr Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?	1
NUM:period How long does it take for Spider-Man 's web to evaporate ?	1
HUM:ind Who was Randy Steven Craft 's lawyer ?	1
LOC:other What was known as the Spice Island ?	1
HUM:ind Who was the first host of Person to Person ?	1
HUM:ind Name the Ranger who was always after Yogi Bear .	1
ENTY:other What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?	1
ENTY:other What does the Statue of Liberty wear on her feet ?	1
HUM:ind Who is the superstar in rent-a-cars ?	1
LOC:city McCarren Airport is located in what city ?	1
ENTY:other What household facility contains a float ball , ballcock , and overflow tube ?	1
ENTY:animal What was the name of Betty Boop 's dog ?	1
NUM:perc What fraction of a beaver 's life is spent swimming ?	1
ENTY:substance What was the Bridge of San Luis Rey made of ?	1
DESC:desc What do economists do ?	1
LOC:country What country has the largest sheep population ?	1
DESC:desc What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?	1
LOC:country What country is the world 's largest importer of cognac ?	1
NUM:count How many years is Johnnie Walker Black Label aged ?	1
ABBR:exp What does SIDS stand for ?	1
ENTY:other What is Grenada 's main commodity export ?	1
NUM:money How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?	1
DESC:reason What makes a clitoris sensitive ?	1
